,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
1,telat tau eluedan sarap gue gaul cigax jifla cal licew,0,1,0,0,0,0,0,0,0,0,0,0
2,kadang pikir percaya tuhan jatuh berkalikali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3,akun tau mata sipit,0,0,0,0,0,0,0,0,0,0,0,0
4,kaum cebong kafir dongok dungu haha,1,1,0,1,1,0,0,0,0,0,1,0
5,ya bani taplak kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilih kepala daerah aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,gue selesai rewatch aldnoah zero kampret karakter utama cowok kena friendzone bro,0,1,0,0,0,0,0,0,0,0,0,0
8,admin belanja port baik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertua taipan kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
9,enak ngewe,0,1,0,0,0,0,0,0,0,0,0,0
10,gue jari gue ukur nyali bacot,1,1,1,0,0,0,0,0,1,1,0,0
11,banci kaleng malu nyungsep koe,1,1,1,0,0,0,0,1,0,1,0,0
12,ajar ekonomi mesti jago privatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huru hara prabowo si lengser perintah jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
14,bu guru enak jablay guru sekolah dasar sihnkayaknya nikmat pecun guru,1,1,1,0,0,0,0,1,0,1,0,0
15,lawan bicara gue intelek kayak otak kencing onta gue aku hadis nabi sahih kafir kayak tolak ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
16,pikir ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0
17,ari bek rapi,0,1,0,0,0,0,0,0,0,0,0,0
18,cowok gantle gantle nama banci,1,1,0,1,0,0,0,1,0,0,1,0
19,alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
20,anjing ya gue jarang ambek takut wkwk gue budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
21,noob peluang sakit nya gede sih,0,0,0,0,0,0,0,0,0,0,0,0
22,joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
23,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional kertajati bangun gubernur ahmad heryawan anggar dapat belanja negara perintah pusat insya allah operasi,0,0,0,0,0,0,0,0,0,0,0,0
25,gubernur presiden rakyat ya kita,0,0,0,0,0,0,0,0,0,0,0,0
26,sih kerja delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
27,turut pintu sorga pintu sorga asli pintu hati modus banget,0,0,0,0,0,0,0,0,0,0,0,0
28,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0,0,1,0,1,0,0,0,0,1,0
29,neneknenek heran cebong bohong,1,1,1,0,0,0,0,0,1,1,0,0
30,islam nusantara produk jil pasar gencar jilnsementara jil anti arab pro asengnkata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
31,habis sahur jam si bayi nete lemas,0,0,0,0,0,0,0,0,0,0,0,0
32,kak emak suka sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
33,laku homo jaman now ngentot live blued gay video gvid lokal hangat,0,1,0,0,0,0,0,0,0,0,0,0
